id_factura,fecha,id_proveedor,id_departamento,importe,concepto
FAC_59C3C7F0,2025-03-18,PROV_0023,DEP_FIN,4935.09,Diseño Marca Corporativa - Ref 5233
FAC_0C378005,2025-08-10,PROV_0009,DEP_OPS,3602.26,Licencias de Software Cloud - Ref 2470
FAC_CC54D7A8,2026-03-19,PROV_0006,DEP_IT,4180.81,Servicio de Vigilancia mensual - Ref 5071
FAC_0A13B6C7,2025-12-22,PROV_0034,DEP_OPS,869.2,Cafetería y Catering - Ref 3739
FAC_88DC6CA2,2024-05-12,PROV_0022,DEP_LEG,640.67,Tasas de Registro y Patentes - Ref 5803
FAC_F1B6883D,2025-03-29,PROV_0029,DEP_OPS,9799.0,Asesoría Legal laboral - Ref 1099
FAC_059A95DA,2024-06-19,PROV_0002,DEP_IT,3237.5,Campaña Publicidad Digital - Ref 2808
FAC_21BAE94B,2025-09-19,PROV_0003,DEP_HR,301.93,Material de Oficina general - Ref 1062
FAC_F40F7FEF,2026-05-11,PROV_0006,DEP_MKT,2645.68,Control Acceso Biométrico - Ref 5421
FAC_350617F7,2026-01-11,PROV_0007,DEP_HR,12384.43,Soporte de Sistemas E2E - Ref 8987
FAC_B1361839,2024-06-14,PROV_0024,DEP_OPS,9432.9,Hardware Portátiles - Ref 8682
FAC_0A683C7C,2024-04-26,PROV_0023,DEP_HR,3794.9,Patrocinio Evento Anual - Ref 9815
FAC_4B0C4AFB,2026-06-07,PROV_0024,DEP_HR,8490.0,Hosting Web mensual - Ref 1887
FAC_85EDACFA,2025-12-05,PROV_0008,DEP_LEG,410.32,Mobiliario ergonómico - Ref 6414
FAC_22DE5127,2024-01-01,PROV_0032,DEP_HR,200.59,Consumibles y Papelería - Ref 4105
FAC_32E0ACB1,2025-09-07,PROV_0023,DEP_MKT,852.56,Gestión RRSS mensual - Ref 7513
FAC_A5127286,2025-10-21,PROV_0023,DEP_IT,4643.05,Patrocinio Evento Anual - Ref 5921
FAC_310D3A24,2025-02-06,PROV_0021,DEP_IT,12177.95,Consultoría Estratégica Trimestral - Ref 1262
FAC_93E63921,2025-04-14,PROV_0009,DEP_IT,4040.94,Hosting Web mensual - Ref 8070
FAC_B4EC3C70,2024-11-20,PROV_0031,DEP_OPS,14765.81,Auditoría de Procesos - Ref 8181
FAC_8B20F686,2024-12-26,PROV_0011,DEP_LEG,3335.02,Control Acceso Biométrico - Ref 5553
FAC_9340A501,2024-07-24,PROV_0003,DEP_OPS,508.33,Material de Oficina general - Ref 7842
FAC_30DFE9AA,2025-03-25,PROV_0008,DEP_LEG,820.25,Cafetería y Catering - Ref 6682
FAC_8031396B,2025-08-28,PROV_0005,DEP_MKT,10803.89,Asesoría Financiera - Ref 4684
FAC_CD1540AE,2025-02-14,PROV_0033,DEP_IT,3523.02,Gestión RRSS mensual - Ref 7877
FAC_05B723AC,2025-11-16,PROV_0004,DEP_LEG,3942.14,Auditoría de Procesos - Ref 3822
FAC_B15DACA2,2024-05-06,PROV_0027,DEP_MKT,5939.25,Asesoría Financiera - Ref 4861
FAC_E3E707BC,2024-12-26,PROV_0011,DEP_FIN,1531.23,Sistemas Alarma Instalación - Ref 9803
FAC_6E2EDF32,2025-04-06,PROV_0013,DEP_MKT,7499.0,Campaña Publicidad Digital - Ref 7644
FAC_CCFD105F,2026-01-17,PROV_0010,DEP_MKT,627.97,Material de Oficina general - Ref 8629
FAC_F19334E4,2026-02-03,PROV_0007,DEP_OPS,5682.4,Soporte de Sistemas E2E - Ref 4519
FAC_82827D4C,2025-11-12,PROV_0021,DEP_LEG,9194.55,Consultoría Estratégica Trimestral - Ref 1899
FAC_B9B38199,2024-05-01,PROV_0020,DEP_HR,10570.66,Servicio Formación Ejecutiva - Ref 7561
FAC_9DD5BD3C,2025-11-02,PROV_0026,DEP_LEG,13243.09,Consultoría Estratégica Trimestral - Ref 3492
FAC_03ECE9E8,2024-02-09,PROV_0031,DEP_LEG,13045.78,Asesoría Financiera - Ref 5523
FAC_C7BAAC50,2025-09-21,PROV_0001,DEP_OPS,6891.18,Asesoría Financiera - Ref 5498
FAC_CCAD9EDD,2024-06-17,PROV_0008,DEP_OPS,246.41,Consumibles y Papelería - Ref 1547
FAC_34F3D20E,2024-08-22,PROV_0026,DEP_MKT,3991.24,Auditoría de Procesos - Ref 1201
FAC_8163C1B7,2025-04-16,PROV_0017,DEP_MKT,2475.24,Patrocinio Evento Anual - Ref 9322
FAC_0244A8CE,2026-01-21,PROV_0034,DEP_OPS,303.85,Mobiliario ergonómico - Ref 3165
FAC_B982D496,2026-05-29,PROV_0025,DEP_IT,381.39,Reparación Climatización - Ref 5113
FAC_580B6221,2025-08-15,PROV_0002,DEP_IT,2670.19,Patrocinio Evento Anual - Ref 2708
FAC_03336644,2024-05-08,PROV_0008,DEP_LEG,7500.0,Cafetería y Catering - Ref 5123
FAC_4D1CA665,2026-04-13,PROV_0031,DEP_IT,13278.86,Consultoría Estratégica Trimestral - Ref 3283
FAC_39DDD9B8,2026-01-13,PROV_0014,DEP_LEG,5068.82,Hardware Portátiles - Ref 3425
FAC_3BD8BD25,2026-06-09,PROV_0003,DEP_IT,492.01,Cafetería y Catering - Ref 8598
FAC_A3E66A9C,2024-01-20,PROV_0034,DEP_MKT,478.17,Material de Oficina general - Ref 7878
FAC_83EFF6C7,2026-03-19,PROV_0034,DEP_MKT,376.06,Consumibles y Papelería - Ref 8518
FAC_A41FB56E,2026-01-25,PROV_0002,DEP_OPS,3905.33,Patrocinio Evento Anual - Ref 5182
FAC_CA68AADA,2025-08-10,PROV_0009,DEP_OPS,3787.8,Licencias de Software Cloud - Ref 3777
FAC_ED2735DB,2025-05-17,PROV_0034,DEP_LEG,632.05,Consumibles y Papelería - Ref 7091
FAC_D7ED9259,2024-10-21,PROV_0020,DEP_HR,3152.82,Asesoría Financiera - Ref 4554
FAC_2D94732F,2026-03-21,PROV_0030,DEP_OPS,449.48,Material de Oficina general - Ref 5362
FAC_711B98D4,2024-01-12,PROV_0030,DEP_FIN,942.34,Cafetería y Catering - Ref 7592
FAC_B3DE99E0,2025-11-09,PROV_0027,DEP_HR,3898.1,Consultoría Estratégica Trimestral - Ref 7176
FAC_D305BFB7,2026-01-02,PROV_0013,DEP_LEG,4487.39,Gestión RRSS mensual - Ref 9915
FAC_3C5207E7,2024-12-29,PROV_0001,DEP_LEG,5692.17,Consultoría Estratégica Trimestral - Ref 7720
FAC_934242E0,2024-10-31,PROV_0022,DEP_OPS,1957.3,Asesoría Legal laboral - Ref 9850
FAC_4D1350E7,2026-04-24,PROV_0032,DEP_FIN,153.89,Cafetería y Catering - Ref 1013
FAC_148560C5,2026-03-02,PROV_0024,DEP_IT,10660.59,Hosting Web mensual - Ref 4090
FAC_DF3F760B,2025-11-09,PROV_0017,DEP_HR,4269.67,Campaña Publicidad Digital - Ref 4852
FAC_FE766D90,2025-01-24,PROV_0016,DEP_MKT,3762.58,Control Acceso Biométrico - Ref 5137
FAC_A3F67447,2025-06-17,PROV_0028,DEP_LEG,2070.74,Diseño Marca Corporativa - Ref 3861
FAC_CE69983A,2024-06-14,PROV_0020,DEP_FIN,4131.27,Asesoría Financiera - Ref 9191
FAC_53575003,2026-01-03,PROV_0003,DEP_IT,245.15,Cafetería y Catering - Ref 9021
FAC_97921A55,2026-06-08,PROV_0029,DEP_LEG,2893.81,Tasas de Registro y Patentes - Ref 9320
FAC_B2859C5A,2024-05-23,PROV_0029,DEP_IT,4048.55,Defensa Jurídica mensual - Ref 9931
FAC_CF5D574F,2024-07-01,PROV_0015,DEP_FIN,3918.09,Distribución Última Milla - Ref 5248
FAC_168B03F1,2024-09-23,PROV_0004,DEP_HR,8450.0,Auditoría de Procesos - Ref 7278
FAC_D8074EB8,2025-05-11,PROV_0030,DEP_IT,154.06,Cafetería y Catering - Ref 9037
FAC_9154D1AB,2025-08-26,PROV_0034,DEP_FIN,211.91,Consumibles y Papelería - Ref 1997
FAC_1A112EE9,2024-09-09,PROV_0018,DEP_HR,153.12,Material de Oficina general - Ref 2152
FAC_A98CC7E6,2024-12-13,PROV_0024,DEP_FIN,13213.73,Hosting Web mensual - Ref 8123
FAC_1F91FFEF,2024-09-15,PROV_0003,DEP_OPS,424.77,Cafetería y Catering - Ref 8109
FAC_0FA401DE,2025-09-14,PROV_0031,DEP_IT,2978.78,Consultoría Estratégica Trimestral - Ref 1825
FAC_59607A9F,2026-03-07,PROV_0028,DEP_LEG,3400.18,Patrocinio Evento Anual - Ref 3766
FAC_B2803D40,2025-10-17,PROV_0009,DEP_LEG,5536.62,Mantenimiento Servidores - Ref 7349
FAC_19EBD175,2026-03-12,PROV_0024,DEP_HR,5439.88,Licencias de Software Cloud - Ref 1805
FAC_32EAB459,2025-08-20,PROV_0031,DEP_MKT,9256.28,Auditoría de Procesos - Ref 1387
FAC_077E8AF1,2025-11-04,PROV_0001,DEP_OPS,8791.39,Asesoría Financiera - Ref 4157
FAC_5D394B7B,2024-09-21,PROV_0020,DEP_MKT,14810.52,Asesoría Financiera - Ref 2086
FAC_4B4FBE9F,2024-05-07,PROV_0014,DEP_MKT,9595.12,Hardware Portátiles - Ref 7211
FAC_515ECB6A,2024-07-22,PROV_0006,DEP_HR,3791.07,Servicio de Vigilancia mensual - Ref 4673
FAC_B29C1493,2024-06-29,PROV_0002,DEP_LEG,4135.17,Gestión RRSS mensual - Ref 8076
FAC_53AC91E3,2026-03-02,PROV_0017,DEP_OPS,819.68,Diseño Marca Corporativa - Ref 1046
FAC_A6A877BD,2026-04-03,PROV_0026,DEP_FIN,7864.69,Asesoría Financiera - Ref 7061
FAC_E1CC588E,2025-10-07,PROV_0030,DEP_IT,316.44,Mobiliario ergonómico - Ref 2622
FAC_20DB7F82,2025-12-19,PROV_0028,DEP_IT,2947.85,Patrocinio Evento Anual - Ref 4205
FAC_27C9CD9C,2026-05-05,PROV_0006,DEP_LEG,2980.07,Servicio de Vigilancia mensual - Ref 8981
FAC_E106C252,2025-09-05,PROV_0033,DEP_HR,4669.92,Campaña Publicidad Digital - Ref 5194
FAC_C5221315,2025-02-09,PROV_0008,DEP_FIN,7190.0,Material de Oficina general - Ref 7227
FAC_3ADFA9AA,2026-04-22,PROV_0015,DEP_MKT,8658.45,Almacenamiento y Picking - Ref 1131
FAC_A6E302A8,2025-01-10,PROV_0023,DEP_IT,3964.54,Patrocinio Evento Anual - Ref 3215
FAC_C04E946E,2026-02-04,PROV_0022,DEP_HR,511.2,Asesoría Legal laboral - Ref 4997
FAC_460CCA31,2025-04-17,PROV_0027,DEP_OPS,10800.72,Consultoría Estratégica Trimestral - Ref 4283
FAC_D78442A3,2026-04-18,PROV_0019,DEP_LEG,1359.33,Servicio Notaría - Ref 9080
FAC_86A6C440,2024-12-20,PROV_0023,DEP_LEG,3010.52,Diseño Marca Corporativa - Ref 7142
FAC_32929C63,2024-05-03,PROV_0023,DEP_IT,1950.55,Diseño Marca Corporativa - Ref 3039
FAC_65BBB362,2024-05-28,PROV_0019,DEP_MKT,9150.0,Tasas de Registro y Patentes - Ref 4314
FAC_F21DA1FE,2026-03-23,PROV_0016,DEP_FIN,2935.37,Servicio de Vigilancia mensual - Ref 1855
FAC_D6D3B008,2024-08-04,PROV_0015,DEP_MKT,4642.18,Almacenamiento y Picking - Ref 1606
FAC_560CCFEE,2024-03-10,PROV_0026,DEP_IT,3736.23,Auditoría de Procesos - Ref 6492
FAC_1AA30A16,2024-06-09,PROV_0006,DEP_OPS,3098.03,Control Acceso Biométrico - Ref 2026
FAC_90574FA7,2025-05-29,PROV_0001,DEP_HR,2659.96,Asesoría Financiera - Ref 7742
FAC_F5A1C30E,2024-04-04,PROV_0014,DEP_MKT,4374.66,Licencias de Software Cloud - Ref 6171
FAC_448DB8AC,2025-10-24,PROV_0016,DEP_IT,1421.15,Servicio de Vigilancia mensual - Ref 1860
FAC_496D47E3,2025-10-30,PROV_0032,DEP_OPS,565.94,Material de Oficina general - Ref 9250
FAC_8A91CA9F,2024-04-21,PROV_0030,DEP_IT,611.38,Mobiliario ergonómico - Ref 4070
FAC_F064CD99,2024-02-22,PROV_0035,DEP_LEG,5388.3,Auditoría de Procesos - Ref 7205
FAC_B23B2045,2026-01-22,PROV_0033,DEP_HR,4332.0,Campaña Publicidad Digital - Ref 6399
FAC_63BAB502,2024-05-28,PROV_0021,DEP_LEG,6461.67,Auditoría de Procesos - Ref 8631
FAC_8F6C7208,2025-08-22,PROV_0005,DEP_OPS,9342.81,Servicio Formación Ejecutiva - Ref 1381
FAC_214233FA,2024-06-29,PROV_0018,DEP_MKT,785.58,Consumibles y Papelería - Ref 5652
FAC_D9879A1B,2026-03-27,PROV_0006,DEP_MKT,4850.54,Control Acceso Biométrico - Ref 7334
FAC_8441FF55,2025-12-04,PROV_0031,DEP_IT,11081.51,Auditoría de Procesos - Ref 8011
FAC_4BAEFCFA,2024-05-22,PROV_0029,DEP_HR,3389.54,Servicio Notaría - Ref 5923
FAC_745B042E,2024-09-11,PROV_0024,DEP_LEG,13869.23,Mantenimiento Servidores - Ref 8607
FAC_CCAC9D80,2025-03-20,PROV_0030,DEP_OPS,394.3,Mobiliario ergonómico - Ref 6930
FAC_97F11D06,2024-03-17,PROV_0007,DEP_LEG,4165.62,Soporte de Sistemas E2E - Ref 2655
FAC_FFC7C79C,2024-10-04,PROV_0005,DEP_FIN,14532.42,Consultoría Estratégica Trimestral - Ref 2003
FAC_7430A112,2024-08-17,PROV_0026,DEP_HR,11243.32,Auditoría de Procesos - Ref 7359
FAC_AC01329B,2024-08-17,PROV_0025,DEP_FIN,890.34,Mantenimiento Ascensores - Ref 5102
FAC_25656691,2026-03-27,PROV_0025,DEP_HR,585.5,Consumo Eléctrico Centralizado - Ref 6967
FAC_AE24C885,2024-09-13,PROV_0031,DEP_IT,12027.05,Auditoría de Procesos - Ref 9248
FAC_4A35E082,2024-10-16,PROV_0007,DEP_HR,6565.23,Mantenimiento Servidores - Ref 2403
FAC_8B10D098,2024-06-21,PROV_0029,DEP_MKT,3357.29,Servicio Notaría - Ref 1233
FAC_8F99E53D,2025-07-11,PROV_0002,DEP_FIN,1881.72,Diseño Marca Corporativa - Ref 2080
FAC_51A80CDA,2024-09-10,PROV_0013,DEP_OPS,640.32,Campaña Publicidad Digital - Ref 5541
FAC_CEBC6502,2024-10-29,PROV_0024,DEP_LEG,2753.3,Hosting Web mensual - Ref 2992
FAC_7C341C2B,2026-04-10,PROV_0014,DEP_LEG,6981.8,Licencias de Software Cloud - Ref 9229
FAC_9DAE8E5A,2025-10-23,PROV_0019,DEP_MKT,3592.31,Tasas de Registro y Patentes - Ref 9929
FAC_7260EAB6,2026-06-03,PROV_0017,DEP_MKT,927.62,Patrocinio Evento Anual - Ref 7735
FAC_6672C1BB,2024-07-19,PROV_0035,DEP_IT,2888.34,Auditoría de Procesos - Ref 1563
